original_path,optimized_path,format,original_size_bytes,optimized_size_bytes,size_reduction_pct,original_dimensions,optimized_dimensions,ssim
assets\characters\designer.png,assets\characters\optimized\designer_opt.png,PNG,16559,14537,12.21,384x864,384x864,0.9796
assets\characters\designer.png,assets\characters\optimized\designer_opt.webp,WEBP,16559,27664,-67.06,384x864,384x864,0.9785
assets\characters\programmer.png,assets\characters\optimized\programmer_opt.png,PNG,17205,13990,18.69,384x864,384x864,0.9738
assets\characters\programmer.png,assets\characters\optimized\programmer_opt.webp,WEBP,17205,24658,-43.32,384x864,384x864,0.9729
assets\characters\reviewer.png,assets\characters\optimized\reviewer_opt.png,PNG,16298,13940,14.47,384x864,384x864,0.9818
assets\characters\reviewer.png,assets\characters\optimized\reviewer_opt.webp,WEBP,16298,26498,-62.58,384x864,384x864,0.981
assets\characters\rosalind.png,assets\characters\optimized\rosalind_opt.png,PNG,15699,11958,23.83,384x864,384x864,0.9779
assets\characters\rosalind.png,assets\characters\optimized\rosalind_opt.webp,WEBP,15699,23542,-49.96,384x864,384x864,0.9764
assets\furniture\desk.png,assets\furniture\optimized\desk_opt.png,PNG,564,1569,-178.19,64x64,64x64,0.9303
assets\furniture\desk.png,assets\furniture\optimized\desk_opt.webp,WEBP,564,746,-32.27,64x64,64x64,0.9295
assets\furniture\meeting_table.png,assets\furniture\optimized\meeting_table_opt.png,PNG,937,1882,-100.85,128x128,128x128,0.7486
assets\furniture\meeting_table.png,assets\furniture\optimized\meeting_table_opt.webp,WEBP,937,1234,-31.7,128x128,128x128,0.7483
assets\furniture\sofa.png,assets\furniture\optimized\sofa_opt.png,PNG,726,1738,-139.39,128x64,128x64,0.8917
assets\furniture\sofa.png,assets\furniture\optimized\sofa_opt.webp,WEBP,726,1084,-49.31,128x64,128x64,0.893
assets\ui\bubbles.png,assets\ui\optimized\bubbles_opt.png,PNG,1181,1768,-49.7,192x64,192x64,0.9945
assets\ui\bubbles.png,assets\ui\optimized\bubbles_opt.webp,WEBP,1181,1722,-45.81,192x64,192x64,0.9947
assets\ui\hud.png,assets\ui\optimized\hud_opt.png,PNG,1167,1702,-45.84,256x128,256x128,0.9444
assets\ui\hud.png,assets\ui\optimized\hud_opt.webp,WEBP,1167,1124,3.68,256x128,256x128,0.9464
assets\environment\floor.png,assets\environment\optimized\floor_opt.png,PNG,10478,9659,7.82,1200x800,1200x800,0.858
assets\environment\floor.png,assets\environment\optimized\floor_opt.webp,WEBP,10478,15342,-46.42,1200x800,1200x800,0.8591
